Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"Naphtha (petroleum), solvent-refined heavy"	"265-095-5"	"64741-92-0"	"1539"	"Naphtha (petroleum), solvent-refined heavy"	"265-095-5"	"64741-92-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light, sweetened"	"272-206-0"	"68783-66-4"	"1539"	"Naphtha (petroleum), light, sweetened"	"272-206-0"	"68783-66-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light, C5-rich, sweetened"	"295-442-6"	"92045-60-8"	"1539"	"Naphtha (petroleum), light, C5-rich, sweetened"	"295-442-6"	"92045-60-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light thermal cracked, sweetened"	"295-447-3"	"92045-65-3"	"1539"	"Naphtha (petroleum), light thermal cracked, sweetened"	"295-447-3"	"92045-65-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light thermal cracked"	"265-075-6"	"64741-74-8"	"1539"	"Naphtha (petroleum), light thermal cracked"	"265-075-6"	"64741-74-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light straight-run"	"265-046-8"	"64741-46-4"	"1539"	"Naphtha (petroleum), light straight-run"	"265-046-8"	"64741-46-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light steam-cracked, thermally treated"	"308-714-7"	"98219-47-7"	"1539"	"Naphtha (petroleum), light steam-cracked, thermally treated"	"308-714-7"	"98219-47-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light steam-cracked, hydrogenated"	"296-942-7"	"93165-55-0"	"1539"	"Naphtha (petroleum), light steam-cracked, hydrogenated"	"296-942-7"	"93165-55-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light steam-cracked, debenzenized, thermally treated"	"308-713-1"	"98219-46-6"	"1539"	"Naphtha (petroleum), light steam-cracked, debenzenized, thermally treated"	"308-713-1"	"98219-46-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light steam-cracked, debenzenized"	"271-266-5"	"68527-26-4"	"1539"	"Naphtha (petroleum), light steam-cracked, debenzenized"	"271-266-5"	"68527-26-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light steam-cracked arom."	"271-264-4"	"68527-23-1"	"1539"	"Naphtha (petroleum), light steam-cracked arom."	"271-264-4"	"68527-23-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light steam-cracked"	"265-187-5"	"64742-83-2"	"1539"	"Naphtha (petroleum), light steam-cracked"	"265-187-5"	"64742-83-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light hydrocracked"	"265-071-4"	"64741-69-1"	"1539"	"Naphtha (petroleum), light hydrocracked"	"265-071-4"	"64741-69-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light heat-soaked, steam-cracked"	"296-028-8"	"92201-97-3"	"1539"	"Naphtha (petroleum), light heat-soaked, steam-cracked"	"296-028-8"	"92201-97-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light catalytic reformed, arom.-free"	"270-993-5"	"68513-03-1"	"1539"	"Naphtha (petroleum), light catalytic reformed, arom.-free"	"270-993-5"	"68513-03-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light catalytic reformed"	"265-065-1"	"64741-63-5"	"1539"	"Naphtha (petroleum), light catalytic reformed"	"265-065-1"	"64741-63-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light catalytic cracked sweetened"	"295-441-0"	"92045-59-5"	"1539"	"Naphtha (petroleum), light catalytic cracked sweetened"	"295-441-0"	"92045-59-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light catalytic cracked"	"265-056-2"	"64741-55-5"	"1539"	"Naphtha (petroleum), light catalytic cracked"	"265-056-2"	"64741-55-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), light alkylate"	"265-068-8"	"64741-66-8"	"1539"	"Naphtha (petroleum), light alkylate"	"265-068-8"	"64741-66-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), isomerization, C6-fraction"	"295-440-5"	"92045-58-4"	"1539"	"Naphtha (petroleum), isomerization, C6-fraction"	"295-440-5"	"92045-58-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), isomerization"	"265-073-5"	"64741-70-4"	"1539"	"Naphtha (petroleum), isomerization"	"265-073-5"	"64741-70-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrotreated light, cycloalkane-contg."	"285-512-4"	"85116-61-6"	"1539"	"Naphtha (petroleum), hydrotreated light, cycloalkane-contg."	"285-512-4"	"85116-61-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrotreated light steam-cracked"	"295-438-4"	"92045-57-3"	"1539"	"Naphtha (petroleum), hydrotreated light steam-cracked"	"295-438-4"	"92045-57-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrotreated light"	"265-151-9"	"64742-49-0"	"1539"	"Naphtha (petroleum), hydrotreated light"	"265-151-9"	"64742-49-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrotreated heavy"	"265-150-3"	"64742-48-9"	"1539"	"Naphtha (petroleum), hydrotreated heavy"	"265-150-3"	"64742-48-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrodesulfurized thermal cracked light"	"285-511-9"	"85116-60-5"	"1539"	"Naphtha (petroleum), hydrodesulfurized thermal cracked light"	"285-511-9"	"85116-60-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrodesulfurized light, dearomatized"	"295-434-2"	"92045-53-9"	"1539"	"Naphtha (petroleum), hydrodesulfurized light, dearomatized"	"295-434-2"	"92045-53-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrodesulfurized light"	"265-178-6"	"64742-73-0"	"1539"	"Naphtha (petroleum), hydrodesulfurized light"	"265-178-6"	"64742-73-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrodesulfurized full-range coker"	"309-879-8"	"101316-76-1"	"1539"	"Naphtha (petroleum), hydrodesulfurized full-range coker"	"309-879-8"	"101316-76-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), hydrodesulfurized full-range"	"295-433-7"	"92045-52-8"	"1539"	"Naphtha (petroleum), hydrodesulfurized full-range"	"295-433-7"	"92045-52-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy thermal cracked"	"265-085-0"	"64741-83-9"	"1539"	"Naphtha (petroleum), heavy thermal cracked"	"265-085-0"	"64741-83-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy straight-run"	"265-041-0"	"64741-41-9"	"1539"	"Naphtha (petroleum), heavy straight-run"	"265-041-0"	"64741-41-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy straight run, arom"	"309-945-6"	"101631-20-3"	"1539"	"Naphtha (petroleum), heavy straight run, arom"	"309-945-6"	"101631-20-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy steam-cracked, hydrogenated"	"295-432-1"	"92045-51-7"	"1539"	"Naphtha (petroleum), heavy steam-cracked, hydrogenated"	"295-432-1"	"92045-51-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy hydrocracked"	"265-079-8"	"64741-78-2"	"1539"	"Naphtha (petroleum), heavy hydrocracked"	"265-079-8"	"64741-78-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy catalytic reformed"	"265-070-9"	"64741-68-0"	"1539"	"Naphtha (petroleum), heavy catalytic reformed"	"265-070-9"	"64741-68-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy catalytic cracked, sweetened"	"295-431-6"	"92045-50-6"	"1539"	"Naphtha (petroleum), heavy catalytic cracked, sweetened"	"295-431-6"	"92045-50-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy catalytic cracked"	"265-055-7"	"64741-54-4"	"1539"	"Naphtha (petroleum), heavy catalytic cracked"	"265-055-7"	"64741-54-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), heavy alkylate"	"265-067-2"	"64741-65-7"	"1539"	"Naphtha (petroleum), heavy alkylate"	"265-067-2"	"64741-65-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), full-range straight-run"	"265-042-6"	"64741-42-0"	"1539"	"Naphtha (petroleum), full-range straight-run"	"265-042-6"	"64741-42-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), full-range reformed"	"272-895-8"	"68919-37-9"	"1539"	"Naphtha (petroleum), full-range reformed"	"272-895-8"	"68919-37-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), full-range coker"	"270-991-4"	"68513-02-0"	"1539"	"Naphtha (petroleum), full-range coker"	"270-991-4"	"68513-02-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), full-range alkylate, butane-contg."	"271-267-0"	"68527-27-5"	"1539"	"Naphtha (petroleum), full-range alkylate, butane-contg."	"271-267-0"	"68527-27-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), full-range alkylate"	"265-066-7"	"64741-64-6"	"1539"	"Naphtha (petroleum), full-range alkylate"	"265-066-7"	"64741-64-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), clay-treated light straight-run"	"271-263-9"	"68527-22-0"	"1539"	"Naphtha (petroleum), clay-treated light straight-run"	"271-263-9"	"68527-22-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), clay-treated full-range straight-run"	"271-262-3"	"68527-21-9"	"1539"	"Naphtha (petroleum), clay-treated full-range straight-run"	"271-262-3"	"68527-21-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), chemically neutralized light"	"265-123-6"	"64742-23-0"	"1539"	"Naphtha (petroleum), chemically neutralized light"	"265-123-6"	"64742-23-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), chemically neutralized heavy"	"265-122-0"	"64742-22-9"	"1539"	"Naphtha (petroleum), chemically neutralized heavy"	"265-122-0"	"64742-22-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), catalytic reformed light, arom.-free fraction"	"285-510-3"	"85116-59-2"	"1539"	"Naphtha (petroleum), catalytic reformed light, arom.-free fraction"	"285-510-3"	"85116-59-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), catalytic reformed"	"273-271-8"	"68955-35-1"	"1539"	"Naphtha (petroleum), catalytic reformed"	"273-271-8"	"68955-35-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), catalytic dewaxed"	"265-170-2"	"64742-66-1"	"1539"	"Naphtha (petroleum), catalytic dewaxed"	"265-170-2"	"64742-66-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), catalytic cracked light distd."	"272-185-8"	"68783-09-5"	"1539"	"Naphtha (petroleum), catalytic cracked light distd."	"272-185-8"	"68783-09-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), C4-12 butane-alkylate, isooctane-rich"	"295-430-0"	"92045-49-3"	"1539"	"Naphtha (petroleum), C4-12 butane-alkylate, isooctane-rich"	"295-430-0"	"92045-49-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), arom"	"271-635-0"	"68603-08-7"	"1539"	"Naphtha (petroleum), arom"	"271-635-0"	"68603-08-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (petroleum), acid-treated"	"265-115-2"	"64742-15-0"	"1539"	"Naphtha (petroleum), acid-treated"	"265-115-2"	"64742-15-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (coal), solvent extn. hydrocracked"	"302-690-1"	"94114-54-2"	"1539"	"Naphtha (coal), solvent extn. hydrocracked"	"302-690-1"	"94114-54-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha (coal), distn. residues"	"292-636-2"	"90641-12-6"	"1539"	"Naphtha (coal), distn. residues"	"292-636-2"	"90641-12-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphtha"	"232-443-2"	"8030-30-6"	"1539"	"Naphtha"	"232-443-2"	"8030-30-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Naphazoline"	"212-641-5"	"835-31-4"	"244"	"Naphazoline"	"212-641-5"	"835-31-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Nalorphine"	"200-546-1"	"62-67-9"	"20"	"Nalorphine"	"200-546-1"	"62-67-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"N5,N5-diethyltoluene-2,5-diamine monohydrochloride"	"218-130-3"	"2051-79-8"	"1310"	"N5,N5-diethyltoluene-2,5-diamine monohydrochloride"	"218-130-3"	"2051-79-8"	""	""	"Hair dye products"	"0 %"	""	""	
"N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine"	"260-451-6"	"56932-45-7"	"1286"	"N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine"	"260-451-6"	"56932-45-7"	""	""	"Hair dye products"	"0 %"	""	""	
"N1-(2-Hydroxyethyl)-4-nitro-o-phenylenediamine"	"260-450-0"	"56932-44-6"	"1285"	"N1-(2-Hydroxyethyl)-4-nitro-o-phenylenediamine"	"260-450-0"	"56932-44-6"	""	""	"Hair dye products"	"0 %"	""	""	
"N-{2-[[1,1'-bi(Cyclopropyl)]-2-yl]phenyl}-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide"	"688-331-2"	"874967-67-6"	"1688"	"N-{2-[[1,1&#39;-bi(Cyclopropyl)]-2-yl]phenyl}-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide"	"688-331-2"	"874967-67-6"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 17 December 2022"	
"n-Pentyl-isopentylphthalate"	"-"	"-"	"1151"	"n-Pentyl-isopentylphthalate"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"n-pentyl-isopentyl phthalate"	"933-378-9"	"776297-69-9"	"1151"	"n-Pentyl-isopentylphthalate"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"N-Methylformamide"	"204-624-6"	"123-39-7"	"746"	"N-Methylformamide"	"204-624-6"	"123-39-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-Methylacetamide"	"201-182-6"	"79-16-3"	"745"	"N-Methylacetamide"	"201-182-6"	"79-16-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-Methyl-3-nitro-p-phenylenediamine"	"221-014-5"	"2973-21-9"	"1284"	"N-Methyl-3-nitro-p-phenylenediamine"	"221-014-5"	"2973-21-9"	""	""	"Hair dye products"	"0 %"	""	""	
"N-Methyl-2-pyrrolidone"	"212-828-1"	"872-50-4"	"1393"	"N-Methyl-2-pyrrolidone"	"212-828-1"	"872-50-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-Methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine"	"-"	"158571-57-4"	"1256"	"N-Methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine"	""	"158571-57-4"	""	""	"Hair dye products"	"0 %"	""	""	
"N-Methoxy-N-[1-methyl-2-(2,4,6-trichlorophenyl)-ethyl]-3-(difluoromethyl)-1-methylpyrazole-4-carboxamide"	"817-852-1"	"1228284-64-7"	"1687"	"N-Methoxy-N-[1-methyl-2-(2,4,6-trichlorophenyl)-ethyl]-3-(difluoromethyl)-1-methylpyrazole-4-carboxamide"	"817-852-1"	"1228284-64-7"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 17 December 2022"	
"N-Ethyl-2-pyrrolidone"	"220-250-6"	"2687-91-4"	"1562"	"N-Ethyl-2-pyrrolidone"	"220-250-6"	"2687-91-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-Cyclopentyl-m-Aminophenol"	"-"	"104903-49-3"	"1225"	"N-Cyclopentyl-m-Aminophenol"	""	"104903-49-3"	""	""	"Hair dye products"	"0 %"	""	""	
"N-Cyclohexyl-N-methoxy-2,5-dimethyl-3-furamide"	"262-302-0"	"60568-05-0"	"1077"	"N-Cyclohexyl-N-methoxy-2,5-dimethyl-3-furamide"	"262-302-0"	"60568-05-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-Carboxymethyliminobis(ethylenenitrilo)tetra(acetic acid)"	"200-652-8"	"67-43-6"	"1720"	"N-Carboxymethyliminobis(ethylenenitrilo)tetra(acetic acid)"	"200-652-8"	"67-43-6"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"N-[6-[(2-Chloro-4-hydroxyphenyl)imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide"	"266-424-5"	"66612-11-1"	"1304"	"N-[6-[(2-Chloro-4-hydroxyphenyl)imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide"	"266-424-5"	"66612-11-1"	""	""	"Hair dye products"	"0 %"	""	""	
"N-[6,9-Dihydro-9-[[2-hydroxy-1-(hydroxymethyl)ethoxy]methyl]-6-oxo-1H-purin-2-yl]acetamide"	"424-550-1"	"84245-12-5"	"1535"	"N-[6,9-Dihydro-9-[[2-hydroxy-1-(hydroxymethyl)ethoxy]methyl]-6-oxo-1H-purin-2-yl]acetamide"	"424-550-1"	"84245-12-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-[2-(3-Acetyl-5-nitrothiophen-2-ylazo)-5-diethylaminophenyl] acetamide"	"416-860-9"	"777891-21-1"	"1201"	"N-[2-(3-Acetyl-5-nitrothiophen-2-ylazo)-5-diethylaminophenyl] acetamide"	"416-860-9"	"777891-21-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-2-Naphthylaniline"	"205-223-9"	"135-88-6"	"1015"	"N-2-Naphthylaniline"	"205-223-9"	"135-88-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-(Trichloromethylthio)phthalimide"	"205-088-6"	"133-07-3"	"1014"	"N-(Trichloromethylthio)phthalimide"	"205-088-6"	"133-07-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-(Trichloromethylthio)-4-cyclohexene-1,2-dicarboximide"	"205-087-0"	"133-06-2"	"370"	"N-(Trichloromethylthio)-4-cyclohexene-1,2-dicarboximide"	"205-087-0"	"133-06-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-(Hydroxymethyl)acrylamide"	"213-103-2"	"924-42-5"	"1673"	"N-(Hydroxymethyl)acrylamide"	"213-103-2"	"924-42-5"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"N-(5-Chlorobenzoxazol-2-yl)acetamide"	"-"	"35783-57-4"	"1"	"N-(5-Chlorobenzoxazol-2-yl)acetamide"	""	"35783-57-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-(5-Chloro-2-isopropylbenzyl)-N-cyclopropyl-3-(difluoromethyl)-5-fluoro-1-methyl-1H-pyrazole-4-carboxamide"	"811-438-4"	"1255734-28-1"	"1714"	"N-(5-Chloro-2-isopropylbenzyl)-N-cyclopropyl-3-(difluoromethyl)-5-fluoro-1-methyl-1H-pyrazole-4-carboxamide"	"811-438-4"	"1255734-28-1"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sul-phonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carbo-xamide"	"229-107-2"	"6410-41-9"	"1347"	"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sul-phonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carbo-xamide"	"229-107-2"	"6410-41-9"	""	""	"Hair dye products"	"0 %"	""	""	
"N-(2-Nitrophenyl)phosphoric triamide"	"477-690-9"	"874819-71-3"	"1713"	"N-(2-Nitrophenyl)phosphoric triamide"	"477-690-9"	"874819-71-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"N-(2-Nitro-4-aminophenyl)-allylamine"	"-"	"160219-76-1"	"1373"	"N-(2-Nitro-4-aminophenyl)-allylamine"	""	"160219-76-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"N-(2-Methoxyethyl)benzene-1,4-diamine dihydrochloride"	"276-723-2"	"72584-59-9"	"1226"	"N-(2-Methoxyethyl)benzene-1,4-diamine dihydrochloride"	"276-723-2"	"72584-59-9"	""	""	"Hair dye products"	"0 %"	""	""	
"N-(2-Methoxyethyl)-p-phenylenediamine"	"-"	"66566-48-1"	"1226"	"N-(2-Methoxyethyl)-p-phenylenediamine"	""	"66566-48-1"	""	""	"Hair dye products"	"0 %"	""	""	
"N,N-Dimethylanilinium tetrakis(pentafluorophenyl)borate"	"422-050-6"	"118612-00-3"	"1184"	"N,N-Dimethylanilinium tetrakis(pentafluorophenyl)borate"	"422-050-6"	"118612-00-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N-Dimethylaniline"	"204-493-5"	"121-69-7"	"1007"	"N,N-Dimethylaniline"	"204-493-5"	"121-69-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N-Dimethylacetamide"	"204-826-4"	"127-19-5"	"747"	"N,N-Dimethylacetamide"	"204-826-4"	"127-19-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"N,N-Dimethyl-p-phenylenediamine sulphate"	"228-292-7"	"6219-73-4"	"1312"	"N,N-Dimethyl-p-phenylenediamine sulphate"	"228-292-7"	"6219-73-4"	""	""	"Hair dye products"	"0 %"	""	""	
